Description,GTINShipDate,Quantity
40lb Spec-Carolina Ruby,12/31/2016,0
500kg (150-300g),12/31/2016,1
500kg (220g-260g),12/31/2016,0
500kg (300-800g),12/31/2016,1
500kg Field Run,12/31/2016,1
500kg Giant,12/31/2016,1
500kg Pickouts,12/31/2016,0
500kg Spc - Purple ,12/31/2016,0
500kg Spc-Purple Mix,12/31/2016,0
"55"" Bin Giant",12/31/2016,8
6kg (150-300g),12/31/2016,0
6kg (300-450g)L1,12/31/2016,1
6kg (450-600g)L2,12/31/2016,2
6kg (600-800g),12/31/2016,0
HP StkHse (12-16oz),12/31/2016,3
Micro - 6Kg (24ct),12/31/2016,5
Micro 20lb 25ct,12/31/2016,0
Micro 20lb 30ct,12/31/2016,3
Murasaki Small Plastic,12/31/2016,0
Pickouts - Plastic,12/31/2016,0
Tray Pack - 4 pk 12 ct,12/31/2016,1
Unused,12/31/2016,0
10lb #1,1/31/2017,0
12/3lb Bags,1/31/2017,9
12ct Steam Bags,1/31/2017,2
18kg (100-150g),1/31/2017,3
18kg (150-300g),1/31/2017,1
18kg (220-260g),1/31/2017,0
18kg (300-450g),1/31/2017,0
18kg (600-800g),1/31/2017,1
20lb #1,1/31/2017,0
20lb No.1 (20ct),1/31/2017,1
20lb Purple,1/31/2017,0
20lb Spec - Bonita No 1,1/31/2017,6
20lb Spec - Murasaki #1,1/31/2017,2
"36""Pickouts(2.5""-4.5"")",1/31/2017,0
40lb #1 Sysco/FP,1/31/2017,0
40lb 100ct,1/31/2017,1
40lb 110ct,1/31/2017,0
40lb 120ct - CV,1/31/2017,0
40lb 25-28ct - CV,1/31/2017,0
40lb 33ct,1/31/2017,7
40lb 35ct Sysco/FP,1/31/2017,0
40lb 38-40ct - CV,1/31/2017,0
40lb 40-50ct - CV,1/31/2017,0
40lb 45ct,1/31/2017,8
40lb 50ct,1/31/2017,7
40lb 55-65ct - CV,1/31/2017,0
40lb 55ct,1/31/2017,10
40lb 65-85ct,1/31/2017,9
40lb 65ct,1/31/2017,6
40lb 65ct Sysco/FP,1/31/2017,4
40lb 70-80ct - CV,1/31/2017,0
40lb 70ct,1/31/2017,0
40lb 75ct,1/31/2017,4
40lb 90ct,1/31/2017,5
40lb Bonita (White),1/31/2017,5
40lb Bonita JBO,1/31/2017,0
40lb Fingerling,1/31/2017,5
40lb Jumbo,1/31/2017,2
40lb Marble Mix,1/31/2017,2
40lb Medium,1/31/2017,2
40lb Murasaki Med,1/31/2017,0
40lb No 1,1/31/2017,7
40lb No 2,1/31/2017,0
40lb Organic,1/31/2017,6
40lb Spc-Purple,1/31/2017,5
40lb Spec-Burgundy,1/31/2017,0
40lb Spec-Carolina Ruby,1/31/2017,0
500kg (150-300g),1/31/2017,2
500kg (220g-260g),1/31/2017,0
500kg (300-800g),1/31/2017,3
500kg Field Run,1/31/2017,0
500kg Giant,1/31/2017,0
500kg Pickouts,1/31/2017,0
500kg Spc - Purple ,1/31/2017,0
500kg Spc-Purple Mix,1/31/2017,0
"55"" Bin Giant",1/31/2017,8
"55"" Bin Pickout(2""-4"")",1/31/2017,1
6kg (150-300g),1/31/2017,0
6kg (300-450g)L1,1/31/2017,4
6kg (450-600g)L2,1/31/2017,0
6kg (600-800g),1/31/2017,1
HP StkHse (12-16oz),1/31/2017,4
Micro - 6Kg (24ct),1/31/2017,8
Micro 20lb 25ct,1/31/2017,0
Micro 20lb 30ct,1/31/2017,3
Murasaki Small Plastic,1/31/2017,0
Pickouts - Plastic,1/31/2017,0
Tray Pack - 4 pk 12 ct,1/31/2017,5
Unused,1/31/2017,2
10lb #1,2/28/2017,0
12/3lb Bags,2/28/2017,4
12ct Steam Bags,2/28/2017,1
18kg (100-150g),2/28/2017,1
18kg (150-300g),2/28/2017,0
18kg (220-260g),2/28/2017,1
18kg (300-450g),2/28/2017,0
18kg (600-800g),2/28/2017,1
20lb #1,2/28/2017,0
20lb No.1 (20ct),2/28/2017,4
20lb Purple,2/28/2017,0
20lb Spec - Bonita No 1,2/28/2017,4
"36""Pickouts(2.5""-4.5"")",2/28/2017,3
40lb #1 Sysco/FP,2/28/2017,0
40lb 100ct,2/28/2017,1
40lb 110ct,2/28/2017,1
40lb 120ct - CV,2/28/2017,0
40lb 25-28ct - CV,2/28/2017,0
40lb 33ct,2/28/2017,2
40lb 35ct Sysco/FP,2/28/2017,0
40lb 38-40ct - CV,2/28/2017,0
40lb 40-50ct - CV,2/28/2017,0
40lb 45ct,2/28/2017,6
40lb 50ct,2/28/2017,5
40lb 55-65ct - CV,2/28/2017,0
40lb 55ct,2/28/2017,6
40lb 65-85ct,2/28/2017,0
40lb 65ct,2/28/2017,1
40lb 65ct Sysco/FP,2/28/2017,2
