Description,GTINShipDate,Quantity
40lb 65ct,12/27/2016,1
40lb 75ct,12/27/2016,1
40lb Jumbo,12/27/2016,1
40lb No 1,12/27/2016,1
"55"" Bin Giant",12/27/2016,1
40lb 50ct,12/27/2016,1
40lb 45ct,12/27/2016,1
40lb 100ct,12/27/2016,1
40lb 65ct Sysco/FP,12/27/2016,1
40lb 33ct,12/27/2016,1
12/3lb Bags,12/27/2016,1
18kg (100-150g),12/27/2016,1
12/3lb Bags,12/28/2016,1
20lb Spec - Bonita No 1,12/28/2016,1
Micro - 6Kg (24ct),12/28/2016,1
40lb Organic,12/28/2016,1
40lb 55ct,12/28/2016,1
"55"" Bin Giant",12/28/2016,1
40lb Fingerling,12/28/2016,1
40lb 38-40ct - CV,12/28/2016,1
40lb 45ct,12/28/2016,1
40lb Jumbo,12/28/2016,1
Tray Pack - 4 pk 12 ct,12/28/2016,1
40lb 65-85ct,12/28/2016,1
Micro 20lb 30ct,12/29/2016,1
40lb Organic,1/2/2017,1
20lb Spec - Murasaki #1,1/2/2017,1
40lb 45ct,1/2/2017,1
40lb 55ct,1/2/2017,1
40lb 65ct Sysco/FP,1/3/2017,1
40lb 75ct,1/3/2017,1
40lb 65ct,1/3/2017,1
Tray Pack - 4 pk 12 ct,1/3/2017,1
"55"" Bin Giant",1/3/2017,1
40lb Marble Mix,1/3/2017,1
40lb Organic,1/3/2017,1
40lb 55ct,1/3/2017,1
Micro 20lb 30ct,1/3/2017,1
Micro - 6Kg (24ct),1/3/2017,1
40lb 65-85ct,1/3/2017,1
40lb No 1,1/3/2017,1
18kg (100-150g),1/3/2017,1
HP StkHse (12-16oz),1/3/2017,1
18kg (150-300g),1/3/2017,1
12ct Steam Bags,1/3/2017,1
12/3lb Bags,1/3/2017,1
40lb Jumbo,1/3/2017,1
40lb 33ct,1/3/2017,1
40lb Fingerling,1/3/2017,1
20lb Spec - Bonita No 1,1/4/2017,1
Micro - 6Kg (24ct),1/4/2017,1
40lb 65-85ct,1/4/2017,1
40lb No 1,1/4/2017,1
12/3lb Bags,1/4/2017,1
20lb Spec - Bonita No 1,1/5/2017,1
HP StkHse (12-16oz),1/5/2017,1
40lb Bonita (White),1/5/2017,1
Tray Pack - 4 pk 12 ct,1/5/2017,1
40lb 65-85ct,1/5/2017,1
40lb Medium,1/5/2017,1
"55"" Bin Giant",1/5/2017,1
Micro - 6Kg (24ct),1/5/2017,1
40lb 50ct,1/5/2017,1
40lb Organic,1/5/2017,1
12/3lb Bags,1/5/2017,1
40lb 75ct,1/10/2017,1
40lb 45ct,1/10/2017,1
40lb 50ct,1/10/2017,1
40lb 65ct Sysco/FP,1/10/2017,1
Micro - 6Kg (24ct),1/10/2017,1
"55"" Bin Giant",1/10/2017,1
40lb 55ct,1/10/2017,1
40lb 33ct,1/10/2017,1
40lb 65-85ct,1/10/2017,1
12/3lb Bags,1/12/2017,1
40lb 55ct,1/12/2017,1
Tray Pack - 4 pk 12 ct,1/14/2017,1
20lb Spec - Bonita No 1,1/14/2017,1
40lb Spc-Purple,1/14/2017,1
"55"" Bin Pickout(2""-4"")",1/14/2017,1
20lb No.1 (20ct),1/14/2017,1
20lb Spec - Murasaki #1,1/14/2017,1
40lb 50ct,1/14/2017,1
40lb No 1,1/14/2017,1
Unused,1/14/2017,1
40lb Organic,1/14/2017,1
Micro - 6Kg (24ct),1/14/2017,1
"55"" Bin Giant",1/14/2017,1
40lb 55ct,1/14/2017,1
12/3lb Bags,1/14/2017,1
40lb 45ct,1/14/2017,1
40lb 65-85ct,1/14/2017,1
40lb 33ct,1/16/2017,1
500kg (150-300g),1/16/2017,1
40lb Marble Mix,1/16/2017,1
40lb 90ct,1/16/2017,1
40lb 75ct,1/16/2017,1
6kg (300-450g)L1,1/16/2017,1
40lb 65-85ct,1/16/2017,1
40lb 50ct,1/16/2017,1
40lb No 1,1/16/2017,1
40lb Fingerling,1/16/2017,1
40lb 55ct,1/16/2017,1
40lb 65ct,1/16/2017,1
40lb 45ct,1/16/2017,1
Micro - 6Kg (24ct),1/17/2017,1
40lb Bonita (White),1/17/2017,1
"55"" Bin Giant",1/17/2017,1
40lb 45ct,1/17/2017,1
20lb Spec - Bonita No 1,1/17/2017,1
18kg (100-150g),1/17/2017,1
6kg (300-450g)L1,1/17/2017,1
12ct Steam Bags,1/17/2017,1
40lb Spc-Purple,1/17/2017,1
12/3lb Bags,1/17/2017,1
40lb Medium,1/17/2017,1
40lb No 1,1/17/2017,1
40lb 65-85ct,1/17/2017,1
40lb 100ct,1/17/2017,1
6kg (300-450g)L1,1/18/2017,1
6kg (600-800g),1/18/2017,1
40lb 90ct,1/18/2017,1
18kg (600-800g),1/18/2017,1
500kg (150-300g),1/19/2017,1
500kg (300-800g),1/19/2017,1
40lb 65ct,1/20/2017,1
40lb 55ct,1/20/2017,1
500kg (300-800g),1/20/2017,1
40lb Fingerling,1/20/2017,1
40lb 33ct,1/20/2017,1
40lb 65ct Sysco/FP,1/20/2017,1
500kg (300-800g),1/21/2017,1
40lb Bonita (White),1/24/2017,1
40lb 50ct,1/24/2017,1
12/3lb Bags,1/24/2017,1
40lb Spc-Purple,1/24/2017,1
HP StkHse (12-16oz),1/24/2017,1
"55"" Bin Giant",1/24/2017,1
40lb 90ct,1/25/2017,1
40lb 55ct,1/25/2017,1
40lb 33ct,1/25/2017,1
40lb 45ct,1/25/2017,1
40lb 65ct,1/25/2017,1
40lb 65ct Sysco/FP,1/27/2017,1
40lb Jumbo,1/27/2017,1
Micro - 6Kg (24ct),1/27/2017,1
40lb 33ct,1/27/2017,1
40lb 90ct,1/27/2017,1
40lb No 1,1/27/2017,1
